ID,FK_ZAEHLER,DATE,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT
344276,Y2H18106792,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344277,Y2G14045587,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344278,YPH15108550,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344279,U15G3063864,2019-04-08 05:30:00,0.0,0.0,2.0,0.0
344280,ECO09022739,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344281,ECO09113503,2019-04-08 05:45:00,2.0,2.0,0.0,0.0
344282,ECO09022739,2019-04-08 05:45:00,5.0,0.0,0.0,0.0
344283,ECO09113499,2019-04-08 05:45:00,2.0,2.0,0.0,0.0
344284,Y2H16039396,2019-04-08 05:45:00,1.0,5.0,0.0,0.0
344285,U15G3063866,2019-04-08 05:45:00,0.0,0.0,16.0,2.0
344286,Y2H16069942,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344287,Y2H16069943,2019-04-08 05:45:00,4.0,2.0,0.0,0.0
344288,U15G3063867,2019-04-08 05:45:00,0.0,0.0,5.0,7.0
344289,U15G3063869,2019-04-08 05:45:00,0.0,0.0,1.0,0.0
344290,U15G3063870,2019-04-08 05:45:00,0.0,0.0,7.0,6.0
344291,YSH18065716,2019-04-08 05:45:00,0.0,0.0,1.0,0.0
344292,U15G3104442,2019-04-08 05:45:00,0.0,0.0,2.0,3.0
344293,U15G3063872,2019-04-08 05:45:00,0.0,0.0,6.0,8.0
344294,U15G3104443,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344295,U15G3104445,2019-04-08 05:45:00,0.0,0.0,1.0,3.0
344296,U15G3104444,2019-04-08 05:45:00,0.0,0.0,3.0,7.0
344297,U15G3104446,2019-04-08 05:45:00,0.0,0.0,1.0,1.0
344298,ECO09113506,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344299,Y2G13124875,2019-04-08 05:45:00,0.0,4.0,0.0,0.0
344300,Y0412032046,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344301,Y2G13124877,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344302,Y2G13124876,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344303,Y0410090357,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344304,U15G6121229,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344305,Y2G13124878,2019-04-08 05:45:00,0.0,1.0,0.0,0.0
344306,Y2H18106793,2019-04-08 05:45:00,1.0,7.0,0.0,0.0
344307,U15G3063873,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344308,Y2G13124879,2019-04-08 05:45:00,1.0,0.0,0.0,0.0
344309,Y2G14045586,2019-04-08 05:45:00,4.0,0.0,0.0,0.0
344310,Y2H18106792,2019-04-08 05:45:00,4.0,2.0,0.0,0.0
344311,Y2G14045587,2019-04-08 05:45:00,1.0,0.0,0.0,0.0
344312,YPH15108550,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344313,U15G3063864,2019-04-08 05:45:00,0.0,0.0,5.0,1.0
344314,U15G3063865,2019-04-08 05:45:00,0.0,0.0,0.0,0.0
344315,ECO09022739,2019-04-08 06:00:00,3.0,0.0,0.0,0.0
344316,U15G3063865,2019-04-08 06:00:00,0.0,0.0,2.0,2.0
344317,Y2H16039396,2019-04-08 06:00:00,2.0,2.0,0.0,0.0
344318,U15G3063866,2019-04-08 06:00:00,0.0,0.0,21.0,7.0
344319,Y2H16069942,2019-04-08 06:00:00,3.0,0.0,0.0,0.0
344320,Y2H16069943,2019-04-08 06:00:00,11.0,0.0,0.0,0.0
344321,U15G3063867,2019-04-08 06:00:00,0.0,0.0,9.0,11.0
344322,U15G3063869,2019-04-08 06:00:00,0.0,0.0,0.0,0.0
344323,U15G3063870,2019-04-08 06:00:00,0.0,0.0,4.0,7.0
344324,YSH18065716,2019-04-08 06:00:00,0.0,0.0,7.0,5.0
344325,U15G3104442,2019-04-08 06:00:00,0.0,0.0,1.0,2.0
344326,U15G3063872,2019-04-08 06:00:00,0.0,0.0,6.0,8.0
344327,U15G3104443,2019-04-08 06:00:00,0.0,0.0,0.0,0.0
344328,U15G3104445,2019-04-08 06:00:00,0.0,0.0,0.0,0.0
344329,U15G3104444,2019-04-08 06:00:00,0.0,0.0,4.0,4.0
344330,U15G3104446,2019-04-08 06:00:00,0.0,0.0,0.0,1.0
344331,ECO07091438,2019-04-08 06:00:00,13.0,2.0,0.0,0.0
344332,ECO07111527,2019-04-08 06:00:00,10.0,4.0,4.0,0.0
344333,ECO06040592,2019-04-08 06:00:00,2.0,4.0,0.0,0.0
344334,ECO09113506,2019-04-08 06:00:00,0.0,3.0,0.0,0.0
344335,ECO09113503,2019-04-08 06:00:00,4.0,0.0,0.0,0.0
344336,Y2G13124875,2019-04-08 06:00:00,1.0,3.0,0.0,0.0
344337,Y0412032046,2019-04-08 06:00:00,0.0,0.0,0.0,1.0
344338,Y2G13124877,2019-04-08 06:00:00,1.0,0.0,0.0,0.0
344339,Y2G13124876,2019-04-08 06:00:00,3.0,0.0,0.0,0.0
344340,Y0410090357,2019-04-08 06:00:00,0.0,0.0,0.0,1.0
344341,U15G6121229,2019-04-08 06:00:00,0.0,0.0,0.0,2.0
344342,Y2G13124878,2019-04-08 06:00:00,1.0,0.0,0.0,0.0
344343,Y2H18106793,2019-04-08 06:00:00,9.0,8.0,0.0,0.0
344344,U15G3063873,2019-04-08 06:00:00,0.0,0.0,1.0,0.0
344345,Y2G13124879,2019-04-08 06:00:00,1.0,0.0,0.0,0.0
344346,Y2G14045586,2019-04-08 06:00:00,3.0,0.0,0.0,0.0
344347,Y2H18106792,2019-04-08 06:00:00,6.0,2.0,0.0,0.0
344348,YPH15108550,2019-04-08 06:00:00,0.0,0.0,4.0,1.0
344349,Y2G14045587,2019-04-08 06:00:00,1.0,0.0,0.0,0.0
344350,U15G3063864,2019-04-08 06:00:00,0.0,0.0,1.0,0.0
344351,ECO09113499,2019-04-08 06:00:00,5.0,0.0,0.0,0.0
344352,ECO09113503,2019-04-08 06:15:00,8.0,1.0,0.0,0.0
344353,U15G3063865,2019-04-08 06:15:00,0.0,0.0,4.0,1.0
